city,state,lat,long,id
A̱asco,Puerto Rico,18.286,-67.1411,1630023590
Aaronsburg,Pennsylvania,40.9042,-77.4513,1840005152
Abanda,Alabama,33.0926,-85.5253,1840023012
Abbeville,Mississippi,34.5034,-89.5025,1840015557
Abbeville,Louisiana,29.975,-92.1265,1840014005
Abbeville,Georgia,31.9925,-83.3068,1840013845
Abbeville,South Carolina,34.1787,-82.3774,1840013618
Abbeville,Alabama,31.5664,-85.2528,1840000552
Abbotsford,Wisconsin,44.9432,-90.3169,1840002168
Abbott,Texas,31.8869,-97.08,1840019506
Abbottstown,Pennsylvania,39.8843,-76.9888,1840000675
Abbyville,Kansas,37.9704,-98.2028,1840007538
Abercrombie,North Dakota,46.4471,-96.7294,1840001946
Aberdeen,Indiana,41.4418,-87.1166,1840030083
Aberdeen,Idaho,42.9441,-112.8384,1840018647
Aberdeen,Washington,46.9757,-123.8094,1840018446
Aberdeen,North Carolina,35.135,-79.4326,1840015433
Aberdeen,Mississippi,33.8287,-88.5539,1840013685
Aberdeen,Ohio,38.6714,-83.7705,1840010685
Aberdeen,Maryland,39.5146,-76.173,1840005666
Aberdeen,South Dakota,45.4646,-98.468,1840002032
Aberdeen Gardens,Washington,47.0587,-123.7791,1840037845
Aberdeen Proving Ground,Maryland,39.4673,-76.1308,1840073583
Abernathy,Texas,33.8389,-101.823,1840019272
Abeytas,New Mexico,34.4652,-106.8137,1840025007
Abie,Nebraska,41.3339,-96.9495,1840010271
Abilene,Texas,32.4543,-99.7384,1840019476
Abilene,Kansas,38.9229,-97.2251,1840001629
Abingdon,Illinois,40.8039,-90.401,1840007161
Abingdon,Virginia,36.7089,-81.9713,1840006529
Abiquiu,New Mexico,36.2017,-106.3239,1840024819
Abita Springs,Louisiana,30.4761,-90.0292,1840015910
Abram,Texas,26.2182,-98.4181,1840025179
Abrams,Wisconsin,44.7796,-88.0605,1840025311
Absarokee,Montana,45.5242,-109.4474,1840017395
Absecon,New Jersey,39.4228,-74.4944,1840003797
Acacia Villas,Florida,26.6457,-80.1104,1840042854
Acalanes Ridge,California,37.9046,-122.0786,1840075577
Acampo,California,38.1735,-121.2798,1840026772
Accident,Maryland,39.6257,-79.32,1840005630
Accokeek,Maryland,38.6745,-77.0023,1840005943
Accomac,Virginia,37.7196,-75.6674,1840006320
Accord,New York,41.7972,-74.2319,1840004702
Accoville,West Virginia,37.7652,-81.827,1840038107
Aceitunas,Puerto Rico,18.4455,-67.0669,1630023602
Acequia,Idaho,42.6688,-113.5968,1840018665
Achille,Oklahoma,33.8346,-96.39,1840021927
Ackerly,Texas,32.5251,-101.7158,1840019445
